Nutrient,Feature_Subset,Num_Features,Validation_ROC_AUC
iron,Full_Feature_Set,50,0.9297019899873098
iron,No_Interactions,46,0.9295207017250275
iron,Demographics_Diet_Only,15,0.901135143426906
calcium,Full_Feature_Set,50,0.8057046711000722
calcium,No_Interactions,46,0.8087492989343802
calcium,Demographics_Diet_Only,15,0.6491066420959859
vitamin_d,Full_Feature_Set,50,0.8086064001134062
vitamin_d,No_Interactions,46,0.807852396070869
vitamin_d,Demographics_Diet_Only,15,0.7426915378016322
vitamin_b12,Full_Feature_Set,50,0.7553765245608146
vitamin_b12,No_Interactions,46,0.7518026183282982
vitamin_b12,Demographics_Diet_Only,15,0.699026518966096
zinc,Full_Feature_Set,50,0.7775005622985097
zinc,No_Interactions,46,0.7805702956440609
zinc,Demographics_Diet_Only,15,0.7323195299462137
magnesium,Full_Feature_Set,50,0.7922010505449011
magnesium,No_Interactions,46,0.7942353051868628
magnesium,Demographics_Diet_Only,15,0.7516003127625956
vitamin_c,Full_Feature_Set,50,0.999995024875622
vitamin_c,No_Interactions,46,0.999995024875622
vitamin_c,Demographics_Diet_Only,15,1.0
