Column,DataType,Unique_Values,Missing_Count,Missing_Pct,Is_Constant,Extreme_Outliers
SEQN,float64,11933,0,0.0,False,0
WTPH2YR,float64,6600,4929,25.55,False,273
LBXSATSI,float64,125,6421,33.28,False,222
LBXSAL,float64,33,6341,32.87,False,22
LBDSALSI,float64,33,6341,32.87,False,22
LBXSAPSI,float64,319,6415,33.25,False,293
LBXSASSI,float64,108,6439,33.38,False,244
LBXSC3SI,float64,22,6424,33.3,False,1
LBXSBU,float64,57,6423,33.3,False,83
LBDSBUSI,float64,57,6423,33.3,False,103
LBXSCLSI,float64,33,6412,33.24,False,74
LBXSCK,float64,565,6421,33.28,False,417
LBXSCR,float64,188,6416,33.26,False,98
LBDSCRSI,float64,188,6416,33.26,False,98
LBXSGB,float64,37,6343,32.88,False,17
LBDSGBSI,float64,37,6343,32.88,False,17
LBXSGL,float64,236,6359,32.96,False,558
LBDSGLSI,float64,29,6359,32.96,False,381
LBXSGTSI,float64,209,6415,33.25,False,510
LBDSGTLC,float64,2,6415,33.25,False,1
LBXSIR,float64,221,6344,32.89,False,10
LBDSIRSI,float64,47,6344,32.89,False,10
LBXSLDSI,float64,231,9774,50.67,False,28
LBXMAGN,float64,21,6434,33.35,False,41
LBXSOSSI,float64,59,6435,33.36,False,21
LBXSPH,float64,49,6434,33.35,False,11
LBDSPHSI,float64,49,6434,33.35,False,9
LBXSKSI,float64,34,6503,33.71,False,11
LBXSNASI,float64,31,6341,32.87,False,68
LBXSTB,float64,39,6424,33.3,False,151
LBDSTBSI,float64,38,6643,34.44,False,151
LBDSTBLC,float64,2,6424,33.3,False,219
LBXSCA,float64,39,6362,32.98,False,18
LBDSCASI,float64,11,6362,32.98,False,31
LBXSCH,float64,262,6413,33.24,False,10
LBDSCHSI,float64,262,6413,33.24,False,10
LBXSTP,float64,40,6343,32.88,False,0
LBDSTPSI,float64,40,6343,32.88,False,0
LBXSTR,float64,446,6351,32.92,False,236
LBDSTRSI,float64,446,6351,32.92,False,236
LBXSUA,float64,95,6412,33.24,False,8
LBDSUASI,float64,95,6412,33.24,False,9
BMDSTATS,float64,4,3073,15.93,False,986
BMXWT,float64,1389,3230,16.74,False,18
BMIWT,float64,3,18758,97.24,False,85
BMXRECUM,float64,299,18803,97.47,False,0
BMIRECUM,float64,1,19271,99.9,True,0
BMXHEAD,float64,49,19218,99.62,False,0
BMIHEAD,float64,0,19291,100.0,True,0
BMXHT,float64,995,3500,18.14,False,406
BMIHT,float64,2,19010,98.54,False,0
BMXBMI,float64,451,3549,18.4,False,50
BMDBMIC,float64,4,16462,85.34,False,0
BMXLEG,float64,231,5003,25.93,False,0
BMILEG,float64,1,18623,96.54,True,0
BMXARML,float64,351,3488,18.08,False,414
BMIARML,float64,1,18987,98.42,True,0
BMXARMC,float64,391,3495,18.12,False,10
BMIARMC,float64,1,18981,98.39,True,0
BMXWAIST,float64,1049,4004,20.76,False,1
BMIWAIST,float64,1,18729,97.09,True,0
BMXHIP,float64,764,5625,29.16,False,44
BMIHIP,float64,1,18685,96.86,True,0
LBXWBCSI,float64,145,4684,24.28,False,81
LBXLYPCT,float64,557,4696,24.34,False,3
LBXMOPCT,float64,160,4696,24.34,False,48
LBXNEPCT,float64,597,4696,24.34,False,4
LBXEOPCT,float64,158,4696,24.34,False,226
LBXBAPCT,float64,35,4696,24.34,False,65
LBDLYMNO,float64,75,4696,24.34,False,88
LBDMONO,float64,18,4696,24.34,False,137
LBDNENO,float64,124,4696,24.34,False,94
LBDEONO,float64,25,4696,24.34,False,385
LBDBANO,float64,4,4696,24.34,False,0
LBXRBCSI,float64,318,4684,24.28,False,10
LBXHGB,float64,110,4684,24.28,False,9
LBXHCT,float64,265,4684,24.28,False,9
LBXMCVSI,float64,412,4684,24.28,False,68
LBXMC,float64,81,4684,24.28,False,24
LBXMCHSI,float64,193,4684,24.28,False,81
LBXRDW,float64,114,4684,24.28,False,233
LBXPLTSI,float64,440,4684,24.28,False,25
LBXMPSI,float64,67,4684,24.28,False,6
LBXNRBC,float64,13,4696,24.34,False,78
SDDSRVYR,float64,1,0,0.0,True,0
RIDSTATR,float64,2,0,0.0,False,3073
RIAGENDR,float64,2,0,0.0,False,0
RIDAGEYR,float64,81,0,0.0,False,0
RIDAGEMN,float64,25,18895,97.95,False,0
RIDRETH1,float64,5,0,0.0,False,7650
RIDRETH3,float64,6,0,0.0,False,7650
RIDEXMON,float64,2,3073,15.93,False,0
RIDEXAGM,float64,240,16145,83.69,False,0
DMQMILIZ,float64,3,3910,20.27,False,1351
DMDBORN4,float64,2,19,0.1,False,2917
DMDYRUSR,float64,8,16374,84.88,False,87
DMDEDUC2,float64,6,4498,23.32,False,0
DMDMARTZ,float64,5,4500,23.33,False,9
RIDEXPRG,float64,3,17137,88.83,False,478
DMDHHSIZ,float64,7,0,0.0,False,0
DMDHRGND,float64,2,14817,76.81,False,0
DMDHRAGZ,float64,4,14808,76.76,False,0
DMDHREDZ,float64,3,15193,78.76,False,0
DMDHRMAZ,float64,3,14923,77.36,False,0
DMDHSEDZ,float64,3,16930,87.76,False,0
WTINT2YR,float64,9821,0,0.0,False,340
