Column,Source,Type,Allowed_for_ML,Reason
SEQN,NHANES 2021-2023,float64,No,Participant ID
WTPH2YR,NHANES 2021-2023,float64,No,Survey Weight
LBXSATSI,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
LBXSAL,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
LBDSALSI,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
LBXSAPSI,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
LBXSASSI,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
LBXSC3SI,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
LBXSBU,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
LBDSBUSI,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
LBXSCLSI,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
LBXSCK,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
LBXSCR,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
LBDSCRSI,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
LBXSGB,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
LBDSGBSI,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
LBXSGL,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
LBDSGLSI,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
LBXSGTSI,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
LBDSGTLC,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
LBXSIR,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
LBDSIRSI,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
LBXSLDSI,NHANES 2021-2023,float64,No,Lab Biomarker - Reserved for Target Generation or Leakage Exclusion
