Feature_1,Feature_2
LBDSALSI,LBXSAL
LBDSBUSI,LBXSBU
LBDSCRSI,LBXSCR
LBDSGBSI,LBXSGB
LBDSGLSI,LBXSGL
LBDSIRSI,LBXSIR
LBDSPHSI,LBXSPH
LBDSTBSI,LBXSTB
LBDSCASI,LBXSCA
LBDSCHSI,LBXSCH
LBDSTPSI,LBXSTP
LBDSTRSI,LBXSTR
LBDSUASI,LBXSUA
BMXRECUM,BMXWT
BMXHT,BMXRECUM
BMXBMI,BMXWT
BMXARML,BMXRECUM
BMXARML,BMXHT
BMXARMC,BMXWT
BMXARMC,BMXBMI
BMXWAIST,BMXWT
BMXWAIST,BMXBMI
BMXHIP,BMXBMI
LBXNEPCT,LBXLYPCT
LBDNENO,LBXWBCSI
LBXHCT,LBXHGB
LBXMCHSI,LBXMCVSI
RIDAGEYR,BMXRECUM
RIDAGEMN,BMXRECUM
RIDRETH3,RIDRETH1
RIDEXAGM,BMXRECUM
RIDEXAGM,BMXHT
RIDEXAGM,BMXARML
RIDEXAGM,RIDAGEYR
RIDEXAGM,RIDAGEMN
DRABF,DR1DRSTZ
DBD100,BMXHEAD
DR1TMFAT,DR1TTFAT
DR1TFDFE,DR1TFOLA
DR1TVK,DR1TLZ
DR1TS060,DR1TS040
DR1TS100,DR1TS060
DR1TS140,DR1TS040
DR1TS140,DR1TS060
DR1TS140,DR1TS100
DR1TS160,DR1TTFAT
DR1TS160,DR1TSFAT
DR1TS180,DR1TSFAT
DR1TS180,DR1TS160
DR1TM181,DR1TTFAT
DR1TM181,DR1TMFAT
DR1TP182,DR1TPFAT
DR1TP225,DR1TP205
DR1TP226,DR1TP205
DR1TP226,DR1TP225
DRD350DQ,BMIWT
DRD350DQ,DRD350CQ
DRD350EQ,DRD350CQ
DRD350GQ,DRD350CQ
DRD350IQ,BMIWT
DRD350JQ,BMDBMIC
DRD350JQ,DRD350BQ
DRD370BQ,DRD350JQ
DRD370FQ,DRD350CQ
DRD370GQ,BMIHT
DRD370GQ,DRD370DQ
DRD370HQ,DRD370FQ
DRD370IQ,DRD370CQ
DRD370JQ,DRD370IQ
DRD370KQ,BMXRECUM
DRD370LQ,DRD350BQ
DRD370LQ,DRD350DQ
DRD370LQ,DRD350EQ
DRD370LQ,DRD370DQ
DRD370LQ,DRD370EQ
DRD370LQ,DRD370IQ
DRD370MQ,DRD350JQ
DRD370NQ,BMXRECUM
DRD370NQ,DRD370CQ
DRD370PQ,LBXSBU
DRD370PQ,LBDSBUSI
DRD370PQ,LBXSLDSI
DRD370PQ,LBXMCVSI
DRD370PQ,LBXMCHSI
DRD370PQ,DBD100
DRD370PQ,DR1TALCO
DRD370PQ,DR1TP205
DRD370PQ,DRD370BQ
DRD370QQ,RIDEXAGM
DRD370QQ,DMDHREDZ
DRD370QQ,DMDHRMAZ
DRD370QQ,DRD370AQ
DRD370QQ,DRD370GQ
DRD370QQ,DRD370IQ
DRD370RQ,BMXRECUM
DRD370RQ,DRD370CQ
DRD370RQ,DRD370HQ
DRD370RQ,DRD370LQ
DRD370SQ,DMDHRMAZ
DRD370SQ,DRD370CQ
DRD370SQ,DRD370KQ
DRD370UQ,DRD350FQ
DRD370UQ,DRD370HQ
DR2DRSTZ,DRDINT
DR2TCARB,DRD370PQ
DR2TSUGR,DRD370PQ
DR2TTFAT,DRD370PQ
DR2TMFAT,DRD370PQ
DR2TMFAT,DR2TTFAT
DR2TPFAT,DRD370PQ
DR2TATOC,DRD370PQ
DR2TFDFE,DR2TFOLA
DR2TCHL,DR2TCHOL
DR2TCOPP,DRD370PQ
DR2TMOIS,DRD370PQ
DR2TS060,DR2TS040
DR2TS140,DR2TS040
DR2TS140,DR2TS060
DR2TS140,DR2TS100
DR2TS160,DR2TTFAT
DR2TS160,DR2TSFAT
DR2TS180,DR2TSFAT
DR2TS180,DR2TS160
DR2TM181,DRD370PQ
DR2TM181,DR2TTFAT
DR2TM181,DR2TMFAT
DR2TM201,DRD370PQ
DR2TP182,DRD370PQ
DR2TP182,DR2TPFAT
DR2TP225,DR2TP205
DR2TP226,DR2TP205
DR2TP226,DR2TP225
DR2TWSZ,DR1TWSZ
DSD070,DRD370JQ
DSQIKCAL,DRD370JQ
DSQIKCAL,DRD370PQ
DSQIPROT,BMXRECUM
DSQICARB,DRD370JQ
DSQICARB,DRD370PQ
DSQICARB,DSQIKCAL
DSQIFIBE,DRD370UQ
DSQIFIBE,DSDACTSS
DSQIFIBE,DSQISUGR
DSQISFAT,BMXRECUM
DSQIMFAT,DMDHRMAZ
DSQIMFAT,DRD370HQ
DSQIMFAT,DRD370UQ
DSQIMFAT,DSQIPROT
DSQIPFAT,DRD350CQ
DSQIPFAT,DSQIKCAL
DSQIPFAT,DSQITFAT
DSQILZ,DSQISFAT
DSQILZ,DSQIPFAT
DSQILZ,DSQICHOL
