Nutrient,Model,Train_Accuracy,Validation_Accuracy,Accuracy_Gap,Precision,Recall_Sensitivity,Specificity,F1_Score,ROC_AUC_Score,PR_AUC_Score,MCC,Brier_Score,Confusion_Matrix
IRON,LogisticRegression,0.7209,0.7045,0.0164,0.0674,0.9268,0.6993,0.1256,0.8541,0.1159,0.2016,0.181,"TN=1223, FP=526, FN=3, TP=38"
IRON,RandomForest,0.8937,0.8732,0.0205,0.128,0.7805,0.8754,0.2199,0.924,0.18,0.283,0.084,"TN=1531, FP=218, FN=9, TP=32"
IRON,ExtraTrees,0.657,0.6402,0.0168,0.0573,0.9512,0.6329,0.108,0.8871,0.1471,0.18,0.186,"TN=1107, FP=642, FN=2, TP=39"
IRON,XGBoost,0.8693,0.8615,0.0078,0.1368,0.9512,0.8593,0.2393,0.9297,0.1621,0.3314,0.1014,"TN=1503, FP=246, FN=2, TP=39"
IRON,CatBoost,0.9567,0.9117,0.045,0.1321,0.5122,0.9211,0.21,0.9135,0.144,0.2278,0.0567,"TN=1611, FP=138, FN=20, TP=21"
CALCIUM,LogisticRegression,0.7966,0.7978,-0.0012,0.0056,0.2857,0.7998,0.0109,0.7197,0.0166,0.0133,0.1394,"TN=1426, FP=357, FN=5, TP=2"
CALCIUM,RandomForest,0.9977,0.9927,0.005,0.0,0.0,0.9966,0.0,0.7611,0.0102,-0.0036,0.0524,"TN=1777, FP=6, FN=7, TP=0"
CALCIUM,ExtraTrees,0.9308,0.9296,0.0012,0.0163,0.2857,0.9321,0.0308,0.7483,0.0152,0.0537,0.1711,"TN=1662, FP=121, FN=5, TP=2"
CALCIUM,XGBoost,1.0,0.9955,0.0045,0.0,0.0,0.9994,0.0,0.7696,0.0151,-0.0015,0.0042,"TN=1782, FP=1, FN=7, TP=0"
CALCIUM,CatBoost,1.0,0.9961,0.0039,0.0,0.0,1.0,0.0,0.8057,0.0169,0.0,0.0041,"TN=1783, FP=0, FN=7, TP=0"
VITAMIN_D,LogisticRegression,0.631,0.6112,0.0198,0.2071,0.5613,0.62,0.3026,0.6442,0.2547,0.1319,0.2272,"TN=943, FP=578, FN=118, TP=151"
VITAMIN_D,RandomForest,0.8124,0.7207,0.0917,0.2977,0.632,0.7364,0.4048,0.7782,0.3403,0.2824,0.161,"TN=1120, FP=401, FN=99, TP=170"
VITAMIN_D,ExtraTrees,0.7943,0.7475,0.0468,0.3223,0.6171,0.7705,0.4235,0.7862,0.3595,0.306,0.1959,"TN=1172, FP=349, FN=103, TP=166"
VITAMIN_D,XGBoost,0.7512,0.7134,0.0378,0.307,0.7212,0.712,0.4306,0.8086,0.3813,0.3239,0.1731,"TN=1083, FP=438, FN=75, TP=194"
VITAMIN_D,CatBoost,0.8177,0.7341,0.0836,0.3168,0.6654,0.7462,0.4293,0.8026,0.376,0.3165,0.1607,"TN=1135, FP=386, FN=90, TP=179"
VITAMIN_B12,LogisticRegression,0.6707,0.6592,0.0115,0.1295,0.6148,0.6628,0.2139,0.6435,0.1677,0.1529,0.2289,"TN=1097, FP=558, FN=52, TP=83"
